PLAYER,DISTANCE,ACCURACY,INDEX
Woodland,322.3,72.56,9.43394542
Champ,327.1,57.14,6.50347198
Trahan,308.5,68.25,5.4925765
Kang,316.2,60.48,5.10497236
Furyk,287.5,80.95,4.3910179
Vegas,308.7,62.24,4.00588318
McCumber,317.3,54.66,3.85216762
Teater,304.2,64.88,3.74913316
Dahmen,302.1,66.57,3.74575474
Bhatia,316.7,53.57,3.45133174
Clark,308.3,59.09,3.12257038
Perez,300.3,65.32,3.05679574
Tway,320,48.79,2.91657928
Jones,307,59.09,2.85450388
Howell,305.6,58.89,2.51497048
Knox,294.9,66.88,2.33989066
Zhang,298.5,63.27,2.16445114
Sucher,312.4,51.02,1.91635864
Ryder,305.6,56.25,1.843798
Straka,299.4,60.32,1.60005124
Riley,300.9,58.93,1.55597626
Gligic,301.6,58.21,1.51727272
Herron,282,71.43,0.83660176
Bae,302.3,54.59,0.74129638
