State,Status,Number
Alabama,Regulated,2
Arizona,Regulated,1
Arkansas,Regulated,1
California,Regulated,1
Connecticut,Deregulated,1
Florida,Regulated,2
Georgia,Regulated,2
Illinois,Deregulated,6
Iowa,Deregulated,1
Kansas,Regulated,1
Louisiana,Regulated,2
Maryland,Deregulated,1
Michigan,Deregulated,3
Minnesota,Regulated,2
Mississippi,Regulated,1
Missouri,Regulated,1
Nebraska,Regulated,1
New Hampshire,Deregulated,1
New Jersey,Deregulated,2
New York,Deregulated,4
North Carolina,Regulated,3
Ohio,Deregulated,2
Pennsylvania,Deregulated,5
South Carolina,Regulated,4
Tennessee,Regulated,2
Texas,Deregulated,2
Virginia,Regulated,2
Washington,Regulated,1
Wisconsin,Deregulated,1
